NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
C2517015,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,03/21/2015 04:37:32 AM,,03/21/2015 04:37:32 AM,03/21/2015 04:38:21 AM,VOI,VOID,Y,8C01,006XX Iberville St,70130,8,"(0.0, 0.0)"
A0033615,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 03:28:00 AM,,01/01/2015 03:28:00 AM,01/01/2015 04:28:46 AM,NAT,Necessary Action Taken,Y,8G01,003XX Andrew Higgins Dr,,8,"(0.0, 0.0)"
A0037815,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 04:04:45 AM,,01/01/2015 04:04:45 AM,01/01/2015 04:07:16 AM,NAT,Necessary Action Taken,Y,8D05,005XX Bourbon St,70112,8,"(0.0, 0.0)"
A0038015,29S,SUICIDE,2A,29S,SUICIDE,2A,37369000,3513814,01/01/2015 04:11:08 AM,,01/01/2015 04:28:56 AM,01/01/2015 04:47:05 AM,RTF,REPORT TO FOLLOW,N,8I02,002XX Loyola Ave,70112,8,"(0.0, 0.0)"
A0038415,24,MEDICAL,2B,911,SILENT 911 CALL,2D,37369000,3513814,01/01/2015 04:16:39 AM,01/01/2015 04:22:08 AM,01/01/2015 05:17:28 AM,01/01/2015 05:19:18 AM,NAT,Necessary Action Taken,N,7O06,073XX Malvern Dr,70126,7,"(0.0, 0.0)"
A0038915,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/01/2015 04:21:43 AM,,01/01/2015 04:21:43 AM,01/01/2015 05:18:31 AM,RTF,REPORT TO FOLLOW,Y,5E02,N Claiborne Ave & Flood St,,5,"(0.0, 0.0)"
A0046015,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 06:51:55 AM,01/01/2015 07:23:26 AM,01/01/2015 07:28:34 AM,01/01/2015 07:37:55 AM,UNF,UNFOUNDED,N,5D03,N Robertson St & Bartholomew St,70117,5,"(0.0, 0.0)"
A0049415,103M,MENTAL PATIENT,1A,35,SIMPLE BATTERY,1D,37369000,3513814,01/01/2015 07:59:56 AM,01/01/2015 09:28:43 AM,01/01/2015 09:54:11 AM,01/01/2015 11:31:40 AM,RTF,REPORT TO FOLLOW,N,1G01,020XX Gravier St,70112,1,"(0.0, 0.0)"
A0049515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 08:01:01 AM,,01/01/2015 08:01:01 AM,01/01/2015 08:22:23 AM,NAT,Necessary Action Taken,Y,7N03,042XX Trieste St,70129,7,"(0.0, 0.0)"
A0051715,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,1A,37369000,3513814,01/01/2015 08:20:21 AM,01/01/2015 11:03:13 AM,01/01/2015 11:13:49 AM,01/01/2015 12:09:33 PM,NAT,Necessary Action Taken,N,4D05,057XX Tullis Dr,70131,4,"(0.0, 0.0)"
A0070015,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,2A,37369000,3513814,01/01/2015 12:28:28 PM,01/01/2015 08:14:26 PM,,01/01/2015 08:14:32 PM,UNF,UNFOUNDED,N,7D07,066XX Dorchester St,70126,7,"(0.0, 0.0)"
A0053715,24,MEDICAL,2B,21,COMPLAINT OTHER,2A,37369000,3513814,01/01/2015 08:50:16 AM,01/01/2015 08:51:12 AM,01/01/2015 08:51:47 AM,01/01/2015 09:14:07 AM,NAT,Necessary Action Taken,N,7J01,Chef Menteur Blvd & Coronado Dr,70127,7,"(0.0, 0.0)"
A0106615,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/01/2015 06:48:48 PM,01/01/2015 06:49:46 PM,,01/01/2015 07:04:10 PM,VOI,VOID,N,2K02,086XX Cohn St,70118,2,"(0.0, 0.0)"
A0056215,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/01/2015 09:33:56 AM,01/01/2015 09:35:47 AM,01/01/2015 09:38:44 AM,01/01/2015 10:39:37 AM,NAT,Necessary Action Taken,N,6L01,032XX Jackson Ave,70125,6,"(0.0, 0.0)"
A0056815,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 09:44:45 AM,,01/01/2015 09:44:45 AM,01/01/2015 10:03:15 AM,NAT,Necessary Action Taken,Y,8C01,001XX Royal St,70130,8,"(0.0, 0.0)"
A0057815,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 10:04:18 AM,,01/01/2015 10:04:18 AM,01/01/2015 10:53:59 AM,NAT,Necessary Action Taken,Y,8D04,Royal St & Iberville St,70130,8,"(0.0, 0.0)"
A0059415,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 10:16:35 AM,01/01/2015 10:17:56 AM,01/01/2015 10:21:21 AM,01/01/2015 10:47:46 AM,NAT,Necessary Action Taken,N,6G03,011XX Oretha Castle Haley Blvd,70113,6,"(0.0, 0.0)"
A0060915,103M,MENTAL PATIENT,1A,21,COMPLAINT OTHER,2A,37369000,3513814,01/01/2015 10:33:55 AM,01/01/2015 10:37:58 AM,01/01/2015 10:40:18 AM,01/01/2015 11:43:38 AM,NAT,Necessary Action Taken,N,5M02,023XX Almonaster Ave,70117,5,"(0.0, 0.0)"
A0062715,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/01/2015 10:55:56 AM,01/01/2015 10:56:48 AM,01/01/2015 11:01:43 AM,01/01/2015 11:09:50 AM,UNF,UNFOUNDED,N,2V03,047XX Earhart Blvd,70125,2,"(0.0, 0.0)"
A0062915,102,CRUELTY TO ANIMALS,1A,102,CRUELTY TO ANIMALS,1A,3694902,559833,01/01/2015 10:56:42 AM,01/01/2015 08:15:34 PM,,01/01/2015 08:15:40 PM,UNF,UNFOUNDED,N,7D02,Approx Loc:6027 Kuebel Dr,70126,7,"(30.032934, -90.02473)"
A0064015,24,MEDICAL,2A,24,MEDICAL,2A,37369000,3513814,01/01/2015 11:14:19 AM,01/01/2015 11:14:44 AM,01/01/2015 11:23:29 AM,01/01/2015 12:06:21 PM,NAT,Necessary Action Taken,N,2T02,084XX Edinburgh St,70118,2,"(0.0, 0.0)"
A0065115,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/01/2015 11:24:55 AM,01/01/2015 11:24:55 AM,,01/01/2015 12:47:01 PM,NAT,Necessary Action Taken,N,8E02,Esplanade Ave & Dauphine St,70116,8,"(0.0, 0.0)"
A0065315,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/01/2015 11:27:49 AM,01/01/2015 11:29:34 AM,01/01/2015 11:32:06 AM,01/01/2015 12:51:50 PM,NAT,Necessary Action Taken,N,8A03,X Canal St,70130,8,"(0.0, 0.0)"
A0067815,24,MEDICAL,2B,34,AGGRAVATED BATTERY,1A,37369000,3513814,01/01/2015 12:02:49 PM,01/01/2015 12:23:14 PM,,01/01/2015 02:14:29 PM,RTF,REPORT TO FOLLOW,N,8I01,003XX Blk Carondelet St,,8,"(0.0, 0.0)"
A0071615,24,MEDICAL,2B,21,COMPLAINT OTHER,2A,37369000,3513814,01/01/2015 12:53:17 PM,01/01/2015 12:54:32 PM,,01/01/2015 01:56:08 PM,NAT,Necessary Action Taken,N,1I02,Iberville St & N Galvez St,70119,1,"(0.0, 0.0)"
A0072515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 12:57:51 PM,,,01/01/2015 01:04:58 PM,VOI,VOID,N,5L01,022XX N Miro St,70117,5,"(0.0, 0.0)"
A0073215,103M,MENTAL PATIENT,1A,67A,AUTO THEFT,2A,37369000,3513814,01/01/2015 01:06:03 PM,01/01/2015 01:08:05 PM,01/01/2015 01:11:25 PM,01/01/2015 02:06:09 PM,NAT,Necessary Action Taken,N,2U01,026XX Fern St,70125,2,"(0.0, 0.0)"
A0073315,24,MEDICAL,2B,29S,SUICIDE,2A,37369000,3513814,01/01/2015 01:06:41 PM,01/01/2015 01:07:22 PM,01/01/2015 01:13:54 PM,01/01/2015 01:34:10 PM,NAT,Necessary Action Taken,N,4H01,005XX Wagner St,70114,4,"(0.0, 0.0)"
A0076015,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/01/2015 01:40:22 PM,01/01/2015 01:41:42 PM,01/01/2015 01:44:47 PM,01/01/2015 01:47:19 PM,GOA,GONE ON ARRIVAL,N,1B01,018XX Saint Bernard Ave,70116,1,"(0.0, 0.0)"
A0077515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 02:00:56 PM,01/01/2015 02:00:56 PM,01/01/2015 02:01:54 PM,01/01/2015 02:29:41 PM,NAT,Necessary Action Taken,N,3M03,040XX Gibson St,70122,3,"(0.0, 0.0)"
A0083915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 03:13:56 PM,01/01/2015 03:17:32 PM,01/01/2015 03:20:00 PM,01/01/2015 03:30:12 PM,NAT,Necessary Action Taken,N,8E02,Bourbon St & Governor Nicholls St,70116,8,"(0.0, 0.0)"
A0084815,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 03:22:39 PM,01/01/2015 03:24:50 PM,01/01/2015 03:47:09 PM,01/01/2015 03:47:47 PM,NAT,Necessary Action Taken,N,8E05,Decatur St & Ursulines Ave,70116,8,"(0.0, 0.0)"
A0086615,24,MEDICAL,2B,103F,FIGHT,2B,37369000,3513814,01/01/2015 03:44:39 PM,01/01/2015 03:45:10 PM,01/01/2015 03:51:34 PM,01/01/2015 04:18:53 PM,NAT,Necessary Action Taken,N,3R03,057XX Elysian Fields Ave,70122,3,"(0.0, 0.0)"
A0086815,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 03:45:48 PM,01/01/2015 03:50:44 PM,,01/01/2015 03:59:57 PM,NAT,Necessary Action Taken,N,2B02,045XX Tchoupitoulas St,70115,2,"(0.0, 0.0)"
A0087515,24,MEDICAL,2B,56D,CRIMINAL DAMAGE DOMESTIC,2C,37369000,3513814,01/01/2015 03:52:27 PM,01/01/2015 05:12:49 PM,01/01/2015 05:23:48 PM,01/01/2015 05:49:10 PM,NAT,Necessary Action Taken,N,7L02,142XX Saigon Dr,70129,7,"(0.0, 0.0)"
A0097115,21J,MISSING JUVENILE,2A,21J,MISSING JUVENILE,2A,37369000,3513814,01/01/2015 05:25:31 PM,,,01/01/2015 05:26:33 PM,VOI,VOID,N,3T02,044XX Eastern St,70122,3,"(0.0, 0.0)"
A0097315,24,MEDICAL,2B,103D,DOMESTIC DISTURBANCE,2B,37369000,3513814,01/01/2015 05:27:20 PM,01/01/2015 05:30:01 PM,01/01/2015 05:36:11 PM,01/01/2015 06:44:09 PM,NAT,Necessary Action Taken,N,3F01,063XX Catina St,70124,3,"(0.0, 0.0)"
A0098715,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 05:39:50 PM,,01/01/2015 05:39:50 PM,01/01/2015 05:46:41 PM,NAT,Necessary Action Taken,Y,8D04,002XX Bourbon St,70112,8,"(0.0, 0.0)"
A0109515,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/01/2015 07:14:52 PM,,01/01/2015 07:14:52 PM,01/01/2015 08:10:00 PM,NAT,Necessary Action Taken,Y,8D01,001XX Royal St,70130,8,"(0.0, 0.0)"
A0113015,42,AGGRAVATED RAPE,2A,21,COMPLAINT OTHER,2A,37369000,3513814,01/01/2015 07:50:02 PM,01/01/2015 07:56:37 PM,01/01/2015 08:07:49 PM,01/01/2015 11:06:18 PM,RTF,REPORT TO FOLLOW,N,3V01,040XX Athis Ct,70126,3,"(0.0, 0.0)"
A0115315,24,MEDICAL,2B,21,COMPLAINT OTHER,2A,37369000,3513814,01/01/2015 08:08:37 PM,01/01/2015 08:10:10 PM,,01/01/2015 08:21:50 PM,NAT,Necessary Action Taken,N,3S02,020XX Lakeshore Dr,70122,3,"(0.0, 0.0)"
A0116915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 08:24:17 PM,,01/01/2015 08:24:17 PM,01/01/2015 08:43:23 PM,NAT,Necessary Action Taken,Y,8C03,Saint Peter St & Chartres St,,8,"(0.0, 0.0)"
A0125515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 10:04:15 PM,01/01/2015 10:13:58 PM,01/01/2015 10:04:15 PM,01/01/2015 10:24:59 PM,NAT,Necessary Action Taken,Y,8D05,Bourbon St & Conti St,70112,8,"(0.0, 0.0)"
A0126515,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,1A,37369000,3513814,01/01/2015 10:13:09 PM,01/01/2015 10:17:28 PM,01/01/2015 10:21:41 PM,01/01/2015 10:53:42 PM,NAT,Necessary Action Taken,N,6Q02,034XX Saint Charles Ave,70115,6,"(0.0, 0.0)"
A2472915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/21/2015 11:59:26 AM,01/21/2015 11:59:26 AM,01/21/2015 12:00:01 PM,01/21/2015 12:06:54 PM,NAT,Necessary Action Taken,N,5G04,031XX N Johnson St,70117,5,"(0.0, 0.0)"
A0132215,42,AGGRAVATED RAPE,2A,21,COMPLAINT OTHER,1H,37369000,3513814,01/01/2015 11:36:38 PM,01/02/2015 02:01:24 AM,01/01/2015 11:36:38 PM,01/02/2015 04:26:12 AM,RTF,REPORT TO FOLLOW,Y,6P01,Marengo St & Chestnut St,70115,6,"(0.0, 0.0)"
A0142815,103M,MENTAL PATIENT,1A,21,COMPLAINT OTHER,2A,37369000,3513814,01/02/2015 01:18:27 AM,01/02/2015 01:37:22 AM,,01/02/2015 01:38:40 AM,NAT,Necessary Action Taken,N,5E02,050XX Marais St,70117,5,"(0.0, 0.0)"
B0295815,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,02/03/2015 11:33:27 AM,02/03/2015 11:34:26 AM,02/03/2015 11:48:29 AM,02/03/2015 12:17:38 PM,NAT,Necessary Action Taken,N,8G03,008XX Magazine St,70130,8,"(0.0, 0.0)"
A0146515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 01:58:21 AM,,01/02/2015 01:58:21 AM,01/02/2015 02:09:16 AM,NAT,Necessary Action Taken,Y,8D05,St Louis St & Bourbon St,70112,8,"(0.0, 0.0)"
A0147215,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,2A,37369000,3513814,01/02/2015 02:07:16 AM,01/02/2015 02:20:20 AM,01/02/2015 02:26:09 AM,01/02/2015 02:43:54 AM,NAT,Necessary Action Taken,N,2V03,032XX Bloomingdale Ct,70125,2,"(0.0, 0.0)"
B0860715,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,02/07/2015 11:04:44 PM,02/07/2015 11:04:44 PM,02/07/2015 11:13:49 PM,02/07/2015 11:30:07 PM,GOA,GONE ON ARRIVAL,N,8D04,002XX Bourbon St,70112,8,"(0.0, 0.0)"
A0150915,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 03:06:11 AM,,01/02/2015 03:06:11 AM,01/02/2015 03:07:55 AM,NAT,Necessary Action Taken,Y,8D05,004XX Bourbon St,70112,8,"(0.0, 0.0)"
B1183415,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,02/10/2015 03:46:04 PM,02/10/2015 03:46:49 PM,,02/10/2015 03:48:28 PM,VOI,VOID,N,1J01,009XX N Galvez St,70116,1,"(0.0, 0.0)"
A0153415,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 03:39:52 AM,01/02/2015 03:42:09 AM,01/02/2015 03:49:22 AM,01/02/2015 04:10:25 AM,NAT,Necessary Action Taken,N,6Q05,030XX Dryades St,70115,6,"(0.0, 0.0)"
A0156915,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/02/2015 04:36:03 AM,01/02/2015 04:36:45 AM,,01/02/2015 04:36:50 AM,UNF,UNFOUNDED,N,2V03,032XX Bloomingdale Ct,70125,2,"(0.0, 0.0)"
B1038915,103M,MENTAL PATIENT,1A,103M,MENTAL PATIENT,1A,37369000,3513814,02/09/2015 11:07:56 AM,02/09/2015 11:25:18 AM,02/09/2015 11:28:35 AM,02/09/2015 12:38:17 PM,NAT,Necessary Action Taken,N,2K02,088XX Plum St,70118,2,"(0.0, 0.0)"
B1200315,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,02/10/2015 06:18:23 PM,02/10/2015 06:23:39 PM,02/10/2015 06:18:23 PM,02/10/2015 06:35:21 PM,NAT,Necessary Action Taken,Y,8D05,004XX Bourbon St,70112,8,"(0.0, 0.0)"
A0168015,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1A,37369000,3513814,01/02/2015 08:34:36 AM,01/02/2015 11:15:40 AM,01/02/2015 11:25:35 AM,01/02/2015 12:52:43 PM,RTF,REPORT TO FOLLOW,N,3S07,064XX Lafaye St,70122,3,"(0.0, 0.0)"
A0221015,21,COMPLAINT OTHER,1H,21,COMPLAINT OTHER,1H,37369000,3513814,01/02/2015 06:16:26 PM,,01/02/2015 06:16:26 PM,01/02/2015 06:50:10 PM,NAT,Necessary Action Taken,Y,3D02,042XX D'Hemecourt St,70119,0,"(0.0, 0.0)"
A0177515,103M,MENTAL PATIENT,1A,103,DISTURBANCE (OTHER),2A,37369000,3513814,01/02/2015 10:36:38 AM,01/02/2015 10:37:19 AM,01/02/2015 10:42:23 AM,01/02/2015 10:56:22 AM,NAT,Necessary Action Taken,N,2U04,032XX S Carrollton Ave,70125,2,"(0.0, 0.0)"
A0181015,103M,MENTAL PATIENT,1A,21,COMPLAINT OTHER,2A,37369000,3513814,01/02/2015 11:22:04 AM,01/02/2015 12:01:19 PM,01/02/2015 12:05:11 PM,01/02/2015 12:45:21 PM,NAT,Necessary Action Taken,N,8J02,015XX Perdido St,70112,8,"(0.0, 0.0)"
A0183415,103M,MENTAL PATIENT,1A,29S,SUICIDE,2A,37369000,3513814,01/02/2015 11:48:33 AM,01/02/2015 11:50:17 AM,01/02/2015 11:56:09 AM,01/02/2015 12:50:46 PM,NAT,Necessary Action Taken,N,4A02,012XX Elmira Ave,70114,4,"(0.0, 0.0)"
A0188915,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/02/2015 12:33:28 PM,01/02/2015 12:35:39 PM,,01/02/2015 12:37:21 PM,VOI,VOID,N,1J04,011XX N Tonti St,70119,1,"(0.0, 0.0)"
A0194115,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 01:25:32 PM,01/02/2015 01:45:02 PM,,01/02/2015 02:12:45 PM,NAT,Necessary Action Taken,N,7C04,069XX Chef Menteur Hwy,70126,7,"(0.0, 0.0)"
A0194415,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/02/2015 01:27:55 PM,,,01/02/2015 01:35:42 PM,VOI,VOID,N,7O07,080XX Crowder Blvd,70126,7,"(0.0, 0.0)"
A0194615,24,MEDICAL,2B,911,SILENT 911 CALL,2D,37369000,3513814,01/02/2015 01:29:37 PM,01/02/2015 01:32:26 PM,01/02/2015 02:00:42 PM,01/02/2015 02:00:53 PM,NAT,Necessary Action Taken,N,6J01,018XX Magnolia St,70113,6,"(0.0, 0.0)"
A0196315,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 01:51:58 PM,01/02/2015 01:55:35 PM,,01/02/2015 08:07:32 PM,NAT,Necessary Action Taken,N,3I04,058XX Orleans Ave,70124,3,"(0.0, 0.0)"
A0202715,103M,MENTAL PATIENT,1A,107,SUSPICIOUS PERSON,2A,37369000,3513814,01/02/2015 02:42:37 PM,01/02/2015 02:44:43 PM,01/02/2015 02:46:24 PM,01/02/2015 03:28:00 PM,NAT,Necessary Action Taken,N,2U01,029XX S Carrollton Ave,70125,2,"(0.0, 0.0)"
A0204515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 03:06:56 PM,,01/02/2015 03:06:56 PM,01/02/2015 03:27:32 PM,NAT,Necessary Action Taken,Y,8C01,001XX Decatur St,70130,8,"(0.0, 0.0)"
A0209415,103M,MENTAL PATIENT,2A,103M,MENTAL PATIENT,2A,37369000,3513814,01/02/2015 04:00:36 PM,01/02/2015 04:02:42 PM,01/02/2015 04:08:16 PM,01/02/2015 04:42:09 PM,NAT,Necessary Action Taken,N,1C02,017XX Paul Morphy St,,1,"(0.0, 0.0)"
A0211715,24,MEDICAL,2B,911,SILENT 911 CALL,2D,37369000,3513814,01/02/2015 04:30:45 PM,01/02/2015 04:34:27 PM,01/02/2015 04:36:54 PM,01/02/2015 04:57:48 PM,NAT,Necessary Action Taken,N,5G03,018XX Almonaster Ave,70117,5,"(0.0, 0.0)"
A0216215,42,AGGRAVATED RAPE,2A,42,AGGRAVATED RAPE,2A,37369000,3513814,01/02/2015 05:27:52 PM,01/02/2015 05:28:39 PM,01/02/2015 05:27:52 PM,01/02/2015 05:29:42 PM,RTF,REPORT TO FOLLOW,Y,8D04,003XX Royal St,70130,8,"(0.0, 0.0)"
A0223015,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 06:41:56 PM,01/02/2015 06:48:43 PM,01/02/2015 06:41:56 PM,01/02/2015 06:54:00 PM,NAT,Necessary Action Taken,Y,4J01,General De Gaulle Dr & Westbend Pkwy,70114,4,"(0.0, 0.0)"
A0226815,24,MEDICAL,2B,103,DISTURBANCE (OTHER),1A,37369000,3513814,01/02/2015 07:40:35 PM,01/02/2015 07:44:01 PM,01/02/2015 07:49:11 PM,01/02/2015 08:01:01 PM,NAT,Necessary Action Taken,N,6Q02,034XX Saint Charles Ave,70115,6,"(0.0, 0.0)"
A0227115,29S,SUICIDE,1B,24,MEDICAL,2B,37369000,3513814,01/02/2015 07:43:16 PM,01/02/2015 07:48:21 PM,01/02/2015 08:03:22 PM,01/02/2015 08:59:11 PM,RTF,REPORT TO FOLLOW,N,7P03,070XX Bundy Rd,70127,7,"(0.0, 0.0)"
A0228115,29S,SUICIDE,2A,29S,SUICIDE,2A,37369000,3513814,01/02/2015 07:51:11 PM,,,01/02/2015 08:06:25 PM,DUP,DUPLICATE,N,7P03,070XX Bundy Rd,70127,7,"(0.0, 0.0)"
A0228615,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 07:53:22 PM,,01/02/2015 07:53:22 PM,01/02/2015 08:04:58 PM,NAT,Necessary Action Taken,Y,6G04,007XX Howard Ave,70130,6,"(0.0, 0.0)"
A0235015,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 08:56:07 PM,01/02/2015 09:17:20 PM,,01/02/2015 09:21:07 PM,NAT,Necessary Action Taken,N,6F02,030XX La Salle St,70115,6,"(0.0, 0.0)"
A0238615,103M,MENTAL PATIENT,1A,103,DISTURBANCE (OTHER),2A,37369000,3513814,01/02/2015 09:50:14 PM,01/02/2015 09:51:27 PM,01/02/2015 09:57:38 PM,01/02/2015 10:51:35 PM,NAT,Necessary Action Taken,N,6F02,030XX La Salle St,70115,6,"(0.0, 0.0)"
A0242515,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/02/2015 10:49:36 PM,01/02/2015 10:52:09 PM,01/02/2015 10:56:48 PM,01/02/2015 11:07:44 PM,NAT,Necessary Action Taken,N,8D03,Burgundy St & St Louis St,70112,8,"(0.0, 0.0)"
A0250615,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/03/2015 12:33:39 AM,01/03/2015 12:36:09 AM,01/03/2015 12:33:39 AM,01/03/2015 01:40:28 AM,DUP,DUPLICATE,Y,8D02,Dauphine St & Conti St,70112,8,"(0.0, 0.0)"
A0251515,103M,MENTAL PATIENT,1A,21,COMPLAINT OTHER,1H,37369000,3513814,01/03/2015 12:42:45 AM,,01/03/2015 12:42:45 AM,01/03/2015 01:16:52 AM,NAT,Necessary Action Taken,Y,6G02,Oretha Castle Haley Blvd & Martin Luther King Jr Blvd,,6,"(0.0, 0.0)"
